Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.93116168057695E-05,-0.000808491080125989,0.046220310995705,0,0,0,0.615785283013905,0.000761300764311581,2.98963200654772E-07,3.53676883539924E-07,0.000774576499049897,-3.46585976118832E-06,0.00100294058166069,0,0,0,0,0,0,package://ur34/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur34/meshes/base_link.STL,,ur3base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,6.40625776083875E-06,0.0542704211136902,-0.00733848978313137,0,0,0,0.755651972571877,0.00106903797369438,9.48353620024408E-08,9.89315736989844E-08,0.00090648513977724,0.000131067701862537,0.000990118676481075,0,0,0,0,0,0,package://ur34/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur34/meshes/link1.STL,,ur3link1-1,Origin_joint1,Axis_joint1,joint1,continuous,0,0,0.08605,1.5707963267949,0,1.02027676759682,base_link,0,1,0,100,2,-3.14,3.14,,,,,,,,
link2,-3.40662919527668E-06,0.105709589894391,-0.116589773897471,0,0,0,1.80164817391606,0.00264980120870352,1.00358855442868E-07,8.54007575304427E-08,0.00166988003581637,8.10906621570882E-05,0.00251726798779669,0,0,0,0,0,0,package://ur34/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur34/meshes/link2.STL,,ur3link2-1,Origin_joint2,Axis_joint2,joint2,continuous,0,0.065849973272205,0,0,0,-0.620497634557815,link1,0,0,1,100,2,-3.14,3.14,,,,,,,,
link3,2.2433971557656E-06,0.111202714258686,-0.0317831977238189,0,0,0,0.962318952715277,0.00107272032995011,2.02713323875847E-08,4.87772431763379E-09,0.000542662096675595,-4.61078717315502E-05,0.00101486278935852,0,0,0,0,0,0,package://ur34/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur34/meshes/link3.STL,,ur3link3-1,Origin_joint3,Axis_joint3,joint3,continuous,0,0.243649999999999,0,0,0,0.868302413726291,link2,0,0,1,100,2,-3.14,3.14,,,,,,,,
link4,-6.9951838748139E-06,-0.000517780620438058,-0.0835319337644841,0,0,0,0.325313485754061,0.000226231397858027,-2.0344125063233E-09,2.89652917714086E-09,0.000199092283222694,1.83494653286668E-05,0.000194599812294666,0,0,0,0,0,0,package://ur34/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur34/meshes/link4.STL,,ur3link4-1,Origin_joint4,Axis_joint4,joint4,continuous,0,0.213,-0.0205823596351254,0,0,0.269687956226345,link3,0,0,1,100,2,-3.14,3.14,,,,,,,,
link5,-6.56426410949873E-06,-0.000517430710180317,-0.056262773239218,0,0,0,0.325304141793257,0.000226236571289682,-1.73901774024146E-09,1.56280273451952E-09,0.000199103023204031,1.8349376883379E-05,0.000194601321220824,0,0,0,0,0,0,package://ur34/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur34/meshes/link5.STL,,ur3link5-1,Origin_joint5,Axis_joint5,joint5,continuous,0,0.0212129804978864,-0.0894566136370388,-1.5707963267949,-0.206511156802194,-3.14159265358979,link4,0,0,1,100,2,-3.14,3.14,,,,,,,,
link6,-3.42017217325186E-09,-0.000103313227807433,-0.0496689201397846,0,0,0,0.115355209052266,4.24687738288343E-05,8.28353260952953E-12,4.20982546528648E-12,4.2681447202874E-05,-1.03222414801979E-07,5.90666201317262E-05,0,0,0,0,0,0,package://ur34/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur34/meshes/link6.STL,,ur3link6-1,Origin_joint6,Axis_joint6,joint6,continuous,0,0.0123039845569,-0.0621870195021896,1.5707963267949,0.371650750477384,0,link5,0,0,1,100,2,-3.14,3.14,,,,,,,,
