Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.93116168057695E-05,0.046220310995705,0.000808491080125992,0,0,0,0.615785283013906,0.000761300764311581,3.53676883539907E-07,-2.98963200654779E-07,0.00100294058166069,3.46585976118834E-06,0.000774576499049897,0,0,0,0,0,0,package://ur33/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur33/meshes/base_link.STL,,ur3base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,6.40625775913872E-06,0.054270421113684,-0.0073384897831299,0,0,0,0.755651972571794,0.00106903797369433,9.48353620032472E-08,9.89315736653741E-08,0.000906485139777163,0.000131067701862536,0.000990118676481056,0,0,0,0,0,0,package://ur33/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur33/meshes/link1.STL,,ur3link1-1,Origin_joint1,基准轴1,joint1,continuous,0,0,0.08605,1.5708,0,1.0203,base_link,0,-1,0,100,2,-3.14,3.14,,,,,,,,
link2,-3.40662919534607E-06,0.105709589894391,-0.116589773897471,0,0,0,1.80164817391607,0.00264980120870353,1.00358855444061E-07,8.54007575295211E-08,0.00166988003581637,8.10906621570899E-05,0.0025172679877967,0,0,0,0,0,0,package://ur33/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur33/meshes/link2.STL,,ur3link2-1,Origin_joint2,基准轴2,joint2,continuous,0,0.06585,0,0,0,-0.6205,link1,0,0,1,100,2,-3.14,3.14,,,,,,,,
link3,2.24339715593214E-06,0.111202714258687,-0.0317831977238209,0,0,0,0.962318952715275,0.00107272032844326,2.02715758953269E-08,4.87756162548128E-09,0.000542662095833821,-4.61078716735541E-05,0.00101486278864245,0,0,0,0,0,0,package://ur33/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur33/meshes/link3.STL,,ur3link3-1,Origin_joint3,基准轴3,joint3,continuous,0,0.24365,0,0,0,0.8683,link2,0,0,1,100,2,-3.14,3.14,,,,,,,,
link4,-6.99518387436981E-06,-0.000517780620435226,-0.0835319337644838,0,0,0,0.32531348575404,0.000226231397858026,-2.0344125053814E-09,2.89652917661909E-09,0.000199092283222693,1.83494653286662E-05,0.000194599812294664,0,0,0,0,0,0,package://ur33/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur33/meshes/link4.STL,,ur3link4-1,Origin_joint4,基准轴4,joint4,continuous,0,0.213,-0.020582,0,0,0.26969,link3,0,0,-1,100,2,-3.14,3.14,,,,,,,,
link5,6.56426410944322E-06,0.056262773239218,0.000517430710179519,0,0,0,0.32530414179325,0.000226236571289682,1.56280273461439E-09,-1.73901773998397E-09,0.000194601321220823,1.8349376883379E-05,0.00019910302320403,0,0,0,0,0,0,package://ur33/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur33/meshes/link5.STL,,ur3link5-1,Origin_joint5,基准轴6,joint5,continuous,0,0.021213,-0.089457,0,0.20651,0,link4,0,0,-1,100,2,-3.14,3.14,,,,,,,,
link6,-3.42017217325186E-09,-0.000103313227807433,-0.0496689201397846,0,0,0,0.115355209052266,4.24687738288343E-05,8.28353260952953E-12,4.20982546528648E-12,4.2681447202874E-05,-1.03222414801979E-07,5.90666201317262E-05,0,0,0,0,0,0,package://ur33/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ur33/meshes/link6.STL,,ur3link6-1,Origin_joint6,基准轴6,joint6,continuous,0,0.062187,-0.012304,0,0,2.7699,link5,0,0,-1,100,2,-3.14,3.14,,,,,,,,
